,I,love,Artificial,Intelligence,because,it,helps,computers,understand,human,language
I,0.16293938,0.08276703,0.076052375,0.075312056,0.08793924,0.10509012,0.08586947,0.07773493,0.08859404,0.08051897,0.0771823
love,0.084840074,0.16702047,0.07314011,0.08425157,0.08210309,0.08526703,0.08332041,0.07594371,0.09284406,0.0850061,0.08626334
Artificial,0.07967083,0.074747816,0.17069177,0.093369976,0.07373862,0.080619305,0.07765961,0.09056781,0.08100244,0.09495836,0.08297338
Intelligence,0.07516483,0.082032226,0.08895509,0.16262078,0.07383404,0.07741496,0.074298486,0.08884372,0.084772795,0.09522137,0.096841685
because,0.092613205,0.084354065,0.07413077,0.077910624,0.17159958,0.085508816,0.090600364,0.07540532,0.09355139,0.07656108,0.0777647
it,0.10548149,0.08349335,0.07724436,0.07785546,0.08149576,0.16354614,0.08684957,0.07838084,0.08563288,0.08188675,0.07813344
helps,0.08815301,0.08344612,0.07610392,0.076423734,0.08831576,0.088828385,0.16727246,0.07898349,0.092703335,0.07930494,0.08046486
computers,0.07970227,0.07596309,0.08864246,0.091270626,0.07341187,0.080066346,0.07888463,0.16706306,0.080094635,0.08551202,0.09938904
understand,0.0867867,0.08872768,0.07574609,0.08320606,0.08701792,0.083574705,0.088459715,0.07652399,0.15961538,0.08178743,0.08855442
human,0.080252804,0.08265487,0.09034595,0.09509249,0.072456926,0.081313245,0.07699523,0.08312558,0.08321467,0.1624007,0.09214746
language,0.076390505,0.08329221,0.078392394,0.096035965,0.0730826,0.07704497,0.077576384,0.09594133,0.0894712,0.09150463,0.16126782
